id,value
5899,899
1671531,531
820095,95
1690313,313
2112609,609
586867,867
1079432,432
1257378,378
631177,177
1238614,614
2208347,347
2486122,122
1289219,219
2475249,249
125240,240
1834700,700
836235,235
1224783,783
821692,692
1599740,740
1605908,908
1746323,323
1068400,400
855918,918
859848,848
1715720,720
1090731,731
778218,218
1475390,390
1097994,994
1588275,275
1596225,225
1178122,122
1658525,525
1196404,404
1118755,755
300393,393
743503,503
343432,432
2050978,978
1087009,9
1977067,67
871900,900
1541556,556
544647,647
508476,476
608027,27
2397083,83
1361538,538
456720,720
154986,986
2293704,704
1694987,987
1187698,698
1383698,698
149004,4
1012607,607
2114270,270
1598572,572
1667987,987
2161620,620
499061,61
1031515,515
1094079,79
292048,48
2460806,806
1202628,628
2351500,500
750410,410
241829,829
1393673,673
1299714,714
2020014,14
995959,959
1172235,235
1397935,935
1704107,107
970222,222
2025118,118
577280,280
62691,691
1440686,686
805086,86
1514682,682
1488033,33
715981,981
1032387,387
1505261,261
719825,825
850021,21
1967980,980
857875,875
2066699,699
652844,844
2203153,153
2403191,191
420471,471
2016110,110
2039074,74
408547,547
1000429,429
1537760,760
1471147,147
1424520,520
559398,398
2059933,933
1773514,514
2247231,231
936829,829
844793,793
1513923,923
139355,355
439380,380
2488204,204
2050915,915
825162,162
449802,802
476327,327
793039,39
813173,173
1133541,541
291462,462
1132285,285
597116,116
701871,871
191323,323
390013,13
1427383,383
1248750,750
266592,592
2165222,222
2168160,160
2463398,398
375584,584
889127,127
1644635,635
1376858,858
1913969,969
204813,813
962550,550
624260,260
1152562,562
2023438,438
890656,656
1707020,20
556235,235
1112243,243
439634,634
1391874,874
647171,171
1760484,484
1085088,88
1934199,199
1410895,895
1396638,638
1917006,6
1308896,896
446235,235
439648,648
2466806,806
1457833,833
2036519,519
302746,746
40901,901
1994963,963
312216,216
1392431,431
350073,73
953753,753
1261787,787
2293611,611
1785910,910
1606320,320
836341,341
2019698,698
1811517,517
1678452,452
576537,537
1114458,458
382343,343
94656,656
